Gender	PrimaryInterest	Hobby	IncomeLevel	NearSchool	WorkingStudent	InternetAccess	MotherEducation	FatherEducation	TrackStrand	GwaRange	StudyHours	SchoolType	Extracurricular	FavoriteSubject	AcademicAwards	Openness1	Openness2	Conscientiousness1	Conscientiousness2	SelfEfficacy1	SelfEfficacy2	ChosenMajor
Male	Engineering	Sports	Upper income (₱131,484 - ₱219,140 per month)	No	Yes	No access	College Graduate	College Graduate	STEM	95 - 100	Less than 3 hours	Private	Arts / Music	Science	Yes	2	4	2	4	2	4	Bachelor of Science in Civil Engineering
Female	Engineering	Gaming	Middle income (₱43,828 - ₱76,667 per month)	Yes	Yes	No access	College Undergraduate	Not sure	STEM	80 - 84	More than 15 hours	Technical / Vocational High School	Competitions	Mathematics	No	2	3	4	2	3	4	Bachelor of Science in Electrical Engineering
Male	Business / Finance	Social activities / Volunteering	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	No access	Post-Graduate	Post-Graduate	TVL - Travel Service	80 - 84	6-10 hours	Technical / Vocational High School	Academic Clubs	English / Communication	No	2	5	5	4	1	4	Bachelor of Science in Hospitality Management
Female	Education / Teaching	Social activities / Volunteering	Poor (Below ₱10,957 per month)	No	No	No access	Not sure	College Graduate	GAS	75 - 79	3-5 hours	Public	Leadership / Student Government	Science	No	4	2	3	4	5	4	Bachelor of Secondary Education major in Science
Female	Business / Finance	Entrepreneurship	Rich (Above ₱219,140 per month)	No	No	No access	College Graduate	Post-Graduate	ABM	90 - 94	More than 15 hours	Public	Academic Clubs	Business / Accounting	Yes	5	5	5	1	5	4	Bachelor of Science in Business Administration major in Marketing Management
Female	Education / Teaching	Social activities / Volunteering	Poor (Below ₱10,957 per month)	No	No	Limited access	Not sure	College Graduate	HUMSS	Below 75	3-5 hours	Science High School	Sports	Mathematics	No	2	5	4	4	2	4	Bachelor of Secondary Education major in English
Female	Business / Finance	Entrepreneurship	Middle income (₱43,828 - ₱76,667 per month)	No	No	No access	Not sure	College Undergraduate	ABM	80 - 84	6-10 hours	Public	Academic Clubs	Business / Accounting	Yes	1	4	1	5	1	4	Bachelor of Science in Accountancy
Male	Social Sciences / Psychology	Sports	Lower-middle income (₱21,914 - ₱43,828 per month)	No	Yes	Limited access	Elementary	Elementary	GAS	80 - 84	11-15 hours	Private	Leadership / Student Government	Social Science	No	4	5	4	5	4	1	Bachelor of Science in Criminology
Female	Health / Medical Sciences	Entrepreneurship	Poor (Below ₱10,957 per month)	No	No	Average/intermittent access	College Graduate	Elementary	TVL - Industrial Arts	85 - 89	More than 15 hours	Science High School	Leadership / Student Government	Social Science	Yes	4	2	5	1	4	4	Bachelor of Arts in English Language
Female	Education / Teaching	Social activities / Volunteering	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Strong and consistent access	College Graduate	Elementary	GAS	90 - 94	None	Public	Academic Clubs	Science	Yes	2	1	1	5	3	4	Bachelor of Elementary Education
Female	Undecided	Coding / Programming	Rich (Above ₱219,140 per month)	Yes	Yes	Limited access	Elementary	College Graduate	Sports Track	Below 75	More than 15 hours	Science High School	Competitions	Mathematics	No	3	3	1	3	4	4	Bachelor of Arts in English Language
Male	Technology / Computing	Gaming	Poor (Below ₱10,957 per month)	No	Yes	Limited access	Elementary	Post-Graduate	TVL - ICT	Below 75	None	Public	Leadership / Student Government	ICT / Computer Studies	No	4	3	4	2	4	1	Bachelor of Science in Computer Science
Female	Technology / Computing	Coding / Programming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Limited access	Elementary	High School	STEM	80 - 84	Less than 3 hours	Private	Competitions	ICT / Computer Studies	Yes	4	2	3	2	3	2	Bachelor of Science in Computer Science
Female	Engineering	Gaming	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	Yes	No access	Elementary	Elementary	STEM	95 - 100	3-5 hours	Technical / Vocational High School	Volunteer Work	Mathematics	No	4	3	5	1	1	5	Bachelor of Science in Electrical Engineering
Male	Education / Teaching	Social activities / Volunteering	Upper income (₱131,484 - ₱219,140 per month)	No	Yes	No access	Elementary	College Graduate	GAS	90 - 94	Less than 3 hours	Public	Academic Clubs	English / Communication	Yes	2	3	4	5	1	1	Bachelor of Secondary Education major in Social Studies
Female	Engineering	Gaming	Upper income (₱131,484 - ₱219,140 per month)	No	No	No access	Post-Graduate	High School	STEM	80 - 84	6-10 hours	Science High School	Competitions	Science	No	3	3	3	4	4	4	Bachelor of Science in Electrical Engineering
Male	Education / Teaching	Social activities / Volunteering	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	No access	College Undergraduate	Post-Graduate	HUMSS	75 - 79	Less than 3 hours	Private	None	Mathematics	Yes	1	1	4	2	2	4	Bachelor of Secondary Education major in Filipino
Male	Engineering	Gaming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	No access	Not sure	Elementary	STEM	85 - 89	None	Public	Arts / Music	Mathematics	Yes	2	1	1	2	4	4	Bachelor of Science in Mechanical Engineering
Female	Education / Teaching	Writing / Reading	Rich (Above ₱219,140 per month)	Yes	No	Average/intermittent access	High School	College Undergraduate	HUMSS	Below 75	3-5 hours	Science High School	Leadership / Student Government	English / Communication	Yes	4	2	1	3	4	2	Bachelor of Elementary Education
Male	Business / Finance	Entrepreneurship	Rich (Above ₱219,140 per month)	No	No	Strong and consistent access	College Graduate	Elementary	ABM	85 - 89	3-5 hours	Private	Arts / Music	Business / Accounting	No	3	1	4	5	5	2	Bachelor of Science in Business Administration major in Financial Management
Female	Technology / Computing	Coding / Programming	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Strong and consistent access	High School	Post-Graduate	STEM	75 - 79	None	Technical / Vocational High School	Arts / Music	ICT / Computer Studies	Yes	5	4	1	3	3	2	Bachelor of Science in Computer Science
Female	Engineering	Gaming	Low income (₱10,957 - ₱21,914 per month)	No	No	Strong and consistent access	College Graduate	Not sure	STEM	90 - 94	None	Technical / Vocational High School	Volunteer Work	Mathematics	No	1	4	4	2	1	5	Bachelor of Science in Civil Engineering
Female	Business / Finance	Entrepreneurship	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	Yes	No access	College Graduate	College Undergraduate	ABM	90 - 94	None	Science High School	Leadership / Student Government	Business / Accounting	Yes	4	3	1	1	1	3	Bachelor of Science in Real Estate Management
Male	Education / Teaching	Social activities / Volunteering	Poor (Below ₱10,957 per month)	No	Yes	Limited access	Elementary	Elementary	HUMSS	90 - 94	6-10 hours	Public	Volunteer Work	English / Communication	Yes	5	5	2	4	5	4	Bachelor of Elementary Education
Male	Engineering	Gaming	Low income (₱10,957 - ₱21,914 per month)	No	No	Limited access	College Undergraduate	Post-Graduate	STEM	75 - 79	11-15 hours	Private	Arts / Music	Mathematics	No	2	5	2	4	1	4	Bachelor of Science in Industrial Engineering
Male	Education / Teaching	Writing / Reading	Poor (Below ₱10,957 per month)	No	No	Limited access	Not sure	Not sure	GAS	Below 75	None	Public	Competitions	Science	Yes	4	2	3	4	5	5	Bachelor of Elementary Education
Male	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Strong and consistent access	College Undergraduate	Elementary	ABM	75 - 79	11-15 hours	Technical / Vocational High School	Competitions	Business / Accounting	No	1	2	2	5	3	5	Bachelor of Science in Accountancy
Female	Technology / Computing	Coding / Programming	Middle income (₱43,828 - ₱76,667 per month)	No	No	No access	Not sure	Not sure	TVL - ICT	80 - 84	6-10 hours	Private	Academic Clubs	ICT / Computer Studies	Yes	2	4	5	2	3	2	Bachelor of Science in Computer Engineering
Male	Health / Medical Sciences	Sports	Rich (Above ₱219,140 per month)	Yes	Yes	Limited access	Elementary	Post-Graduate	HUMSS	Below 75	Less than 3 hours	Private	Sports	Social Science	No	2	2	3	1	4	3	Bachelor of Arts in Psychology
Male	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	No access	Elementary	High School	ABM	85 - 89	Less than 3 hours	Public	Leadership / Student Government	Business / Accounting	No	1	3	4	5	5	3	Bachelor of Science in Business Administration major in Human Resource Management
Female	Technology / Computing	Coding / Programming	Low income (₱10,957 - ₱21,914 per month)	No	No	Average/intermittent access	Post-Graduate	Not sure	TVL - ICT	75 - 79	6-10 hours	Private	Volunteer Work	ICT / Computer Studies	No	5	5	5	5	5	4	Bachelor of Science in Computer Science
Female	Business / Finance	Entrepreneurship	Low income (₱10,957 - ₱21,914 per month)	No	No	No access	High School	College Undergraduate	ABM	85 - 89	3-5 hours	Public	Sports	Business / Accounting	Yes	2	2	4	1	1	1	Bachelor of Science in Customs Administration
Female	Business / Finance	Entrepreneurship	Middle income (₱43,828 - ₱76,667 per month)	Yes	Yes	Average/intermittent access	Elementary	Not sure	ABM	85 - 89	6-10 hours	Technical / Vocational High School	Leadership / Student Government	Business / Accounting	No	3	2	3	2	3	3	Bachelor of Science in Real Estate Management
Female	Education / Teaching	Writing / Reading	Poor (Below ₱10,957 per month)	Yes	Yes	Strong and consistent access	High School	Post-Graduate	HUMSS	95 - 100	3-5 hours	Private	Competitions	Social Science	No	4	5	1	1	3	5	Bachelor of Secondary Education major in Mathematics
Male	Education / Teaching	Social activities / Volunteering	Rich (Above ₱219,140 per month)	No	Yes	No access	Elementary	Post-Graduate	HUMSS	80 - 84	11-15 hours	Science High School	Sports	English / Communication	Yes	2	5	3	5	3	2	Bachelor of Secondary Education major in Science
Female	Health / Medical Sciences	Coding / Programming	Upper income (₱131,484 - ₱219,140 per month)	No	Yes	Strong and consistent access	Elementary	Not sure	GAS	75 - 79	11-15 hours	Private	None	English / Communication	Yes	5	4	4	3	3	4	Bachelor of Performing Arts
Male	Technology / Computing	Coding / Programming	Poor (Below ₱10,957 per month)	No	Yes	Average/intermittent access	High School	College Graduate	TVL - ICT	90 - 94	None	Private	Academic Clubs	ICT / Computer Studies	No	4	5	4	4	1	2	Bachelor of Science in Computer Science
Male	Engineering	Gaming	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	No access	Post-Graduate	High School	STEM	95 - 100	None	Private	Volunteer Work	Science	No	4	1	3	5	5	3	Bachelor of Science in Industrial Engineering
Male	Engineering	Sports	Lower-middle income (₱21,914 - ₱43,828 per month)	No	Yes	Limited access	Not sure	Not sure	STEM	90 - 94	None	Science High School	Leadership / Student Government	Mathematics	No	3	4	3	5	4	5	Bachelor of Science in Industrial Engineering
Female	Business / Finance	Music	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	Average/intermittent access	Not sure	Not sure	STEM	95 - 100	More than 15 hours	Private	Arts / Music	English / Communication	Yes	2	2	5	1	1	4	Bachelor of Arts in English Language
Male	Technology / Computing	Coding / Programming	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Strong and consistent access	High School	Not sure	TVL - Home Economics	Below 75	More than 15 hours	Public	Competitions	ICT / Computer Studies	Yes	4	3	3	4	2	3	Bachelor of Performing Arts
Female	Education / Teaching	Social activities / Volunteering	Rich (Above ₱219,140 per month)	Yes	Yes	Limited access	Post-Graduate	College Graduate	GAS	75 - 79	3-5 hours	Public	None	Social Science	Yes	4	5	1	2	2	5	Bachelor of Secondary Education major in Filipino
Male	Education / Teaching	Writing / Reading	Low income (₱10,957 - ₱21,914 per month)	Yes	Yes	No access	Post-Graduate	Post-Graduate	GAS	Below 75	More than 15 hours	Science High School	Volunteer Work	Mathematics	No	1	2	3	4	1	1	Bachelor of Secondary Education major in English
Female	Education / Teaching	Sports	Lower-middle income (₱21,914 - ₱43,828 per month)	No	Yes	Limited access	High School	Elementary	GAS	Below 75	None	Private	Volunteer Work	Science	No	1	5	3	4	5	1	Bachelor of Physical Education
Female	Technology / Computing	Coding / Programming	Poor (Below ₱10,957 per month)	No	No	Average/intermittent access	Post-Graduate	Elementary	TVL - ICT	80 - 84	3-5 hours	Private	Sports	ICT / Computer Studies	No	3	5	3	1	2	4	Bachelor of Science in Information Technology
Male	Engineering	Gaming	Poor (Below ₱10,957 per month)	Yes	No	No access	College Undergraduate	Not sure	STEM	90 - 94	Less than 3 hours	Science High School	Competitions	Science	Yes	1	3	4	1	1	1	Bachelor of Science in Electrical Engineering
Male	Business / Finance	Entrepreneurship	Low income (₱10,957 - ₱21,914 per month)	No	No	Strong and consistent access	College Undergraduate	Not sure	ABM	75 - 79	More than 15 hours	Public	Leadership / Student Government	Business / Accounting	No	1	4	5	5	2	5	Bachelor of Science in Customs Administration
Female	Business / Finance	Entrepreneurship	Poor (Below ₱10,957 per month)	Yes	No	Strong and consistent access	Post-Graduate	Not sure	ABM	85 - 89	3-5 hours	Private	Academic Clubs	Business / Accounting	No	4	5	2	5	4	3	Bachelor of Science in Customs Administration
Female	Engineering	Sports	Rich (Above ₱219,140 per month)	No	Yes	Strong and consistent access	Post-Graduate	College Graduate	STEM	75 - 79	6-10 hours	Technical / Vocational High School	Leadership / Student Government	Mathematics	Yes	2	1	2	2	5	1	Bachelor of Science in Electrical Engineering
Female	Technology / Computing	Social activities / Volunteering	Rich (Above ₱219,140 per month)	Yes	No	Average/intermittent access	College Undergraduate	Not sure	TVL - Industrial Arts	80 - 84	More than 15 hours	Private	None	Arts	Yes	1	2	2	5	4	5	Bachelor of Performing Arts
Male	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	No	No	No access	Post-Graduate	College Graduate	ABM	75 - 79	11-15 hours	Science High School	Arts / Music	Business / Accounting	Yes	4	1	4	5	4	1	Bachelor of Science in Customs Administration
Female	Engineering	Gaming	Poor (Below ₱10,957 per month)	No	No	Strong and consistent access	Post-Graduate	College Undergraduate	STEM	Below 75	6-10 hours	Science High School	Leadership / Student Government	Mathematics	Yes	2	1	3	4	5	2	Bachelor of Science in Electrical Engineering
Female	Education / Teaching	Writing / Reading	Upper income (₱131,484 - ₱219,140 per month)	Yes	No	Strong and consistent access	Not sure	Elementary	HUMSS	80 - 84	Less than 3 hours	Technical / Vocational High School	Competitions	Social Science	Yes	4	5	3	2	2	5	Bachelor of Elementary Education
Male	Business / Finance	Social activities / Volunteering	Rich (Above ₱219,140 per month)	Yes	Yes	Strong and consistent access	Post-Graduate	College Undergraduate	TVL - Home Economics	Below 75	More than 15 hours	Science High School	None	English / Communication	Yes	2	5	5	1	2	1	Bachelor of Science in Hospitality Management
Female	Education / Teaching	Writing / Reading	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Average/intermittent access	Not sure	Elementary	HUMSS	90 - 94	More than 15 hours	Public	Leadership / Student Government	English / Communication	Yes	1	5	5	1	2	1	Bachelor of Secondary Education major in Mathematics
Male	Business / Finance	Social activities / Volunteering	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	Strong and consistent access	Not sure	Elementary	TVL - Cookery	90 - 94	None	Technical / Vocational High School	Academic Clubs	English / Communication	No	4	5	4	5	5	3	Bachelor of Science in Hospitality Management
Male	Engineering	Sports	Rich (Above ₱219,140 per month)	No	No	Strong and consistent access	Elementary	College Graduate	STEM	85 - 89	Less than 3 hours	Science High School	Academic Clubs	Mathematics	No	3	4	2	5	3	4	Bachelor of Science in Electrical Engineering
Male	Technology / Computing	Gaming	Low income (₱10,957 - ₱21,914 per month)	Yes	No	Limited access	High School	Not sure	TVL - ICT	Below 75	Less than 3 hours	Private	Leadership / Student Government	ICT / Computer Studies	Yes	1	1	4	2	5	1	Bachelor of Science in Computer Engineering
Male	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Strong and consistent access	College Undergraduate	Elementary	TVL - SMAW	85 - 89	None	Public	Academic Clubs	Business / Accounting	Yes	1	2	1	3	5	1	Bachelor of Arts in Political Science
Male	Business / Finance	Social activities / Volunteering	Low income (₱10,957 - ₱21,914 per month)	Yes	No	Limited access	Post-Graduate	High School	TVL - Home Economics	95 - 100	11-15 hours	Private	None	English / Communication	No	5	2	2	3	5	4	Bachelor of Science in Hospitality Management
Female	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Limited access	High School	College Undergraduate	ABM	95 - 100	6-10 hours	Technical / Vocational High School	Arts / Music	Business / Accounting	Yes	5	4	1	2	1	5	Bachelor of Science in Real Estate Management
Female	Social Sciences / Psychology	Sports	Upper income (₱131,484 - ₱219,140 per month)	Yes	No	Strong and consistent access	Not sure	College Undergraduate	GAS	95 - 100	Less than 3 hours	Private	Leadership / Student Government	Social Science	Yes	2	3	2	5	2	1	Bachelor of Science in Criminology
Male	Undecided	Social activities / Volunteering	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	Yes	Strong and consistent access	College Undergraduate	Elementary	Sports Track	85 - 89	6-10 hours	Public	Competitions	Undecided	Yes	1	3	3	2	5	5	Bachelor of Science in Social Work
Female	Technology / Computing	Coding / Programming	Low income (₱10,957 - ₱21,914 per month)	Yes	Yes	Strong and consistent access	College Undergraduate	College Undergraduate	STEM	80 - 84	3-5 hours	Public	Sports	ICT / Computer Studies	Yes	2	1	4	1	4	4	Bachelor of Science in Information Technology
Female	Education / Teaching	Social activities / Volunteering	Poor (Below ₱10,957 per month)	Yes	Yes	Limited access	Not sure	College Undergraduate	GAS	95 - 100	11-15 hours	Private	Sports	Mathematics	Yes	3	1	2	3	5	1	Bachelor of Secondary Education major in Filipino
Male	Technology / Computing	Coding / Programming	Upper income (₱131,484 - ₱219,140 per month)	Yes	Yes	Limited access	College Undergraduate	Elementary	TVL - ICT	95 - 100	6-10 hours	Private	Academic Clubs	ICT / Computer Studies	No	5	1	4	4	5	4	Bachelor of Science in Computer Science
Male	Engineering	Gaming	Middle income (₱43,828 - ₱76,667 per month)	Yes	No	Strong and consistent access	College Undergraduate	College Graduate	STEM	95 - 100	None	Private	Arts / Music	Science	Yes	3	4	3	4	5	3	Bachelor of Science in Civil Engineering
Female	Business / Finance	Entrepreneurship	Middle income (₱43,828 - ₱76,667 per month)	No	Yes	Average/intermittent access	High School	High School	ABM	95 - 100	More than 15 hours	Technical / Vocational High School	Volunteer Work	Business / Accounting	No	4	3	2	1	1	4	Bachelor of Science in Business Administration major in Human Resource Management
Female	Technology / Computing	Coding / Programming	Lower-middle income (₱21,914 - ₱43,828 per month)	No	Yes	Limited access	High School	Elementary	TVL - ICT	95 - 100	More than 15 hours	Technical / Vocational High School	Leadership / Student Government	ICT / Computer Studies	Yes	1	3	2	5	2	2	Bachelor of Science in Computer Engineering
Female	Business / Finance	Social activities / Volunteering	Poor (Below ₱10,957 per month)	Yes	No	Limited access	Elementary	College Undergraduate	TVL - Home Economics	75 - 79	Less than 3 hours	Science High School	Academic Clubs	English / Communication	No	1	4	3	5	1	4	Bachelor of Science in Hospitality Management
Female	Business / Finance	Entrepreneurship	Poor (Below ₱10,957 per month)	No	Yes	No access	College Undergraduate	College Graduate	ABM	85 - 89	Less than 3 hours	Public	Academic Clubs	Business / Accounting	No	3	4	2	5	1	5	Bachelor of Science in Business Administration major in Human Resource Management
Male	Undecided	Music	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	Yes	No access	Elementary	High School	Sports Track	80 - 84	None	Public	Academic Clubs	Mathematics	No	1	1	2	5	5	4	Bachelor of Arts in English Language
Female	Business / Finance	Entrepreneurship	Upper-middle income (₱76,667 - ₱131,484 per month)	No	No	Limited access	Not sure	Post-Graduate	ABM	90 - 94	6-10 hours	Public	Competitions	Business / Accounting	Yes	5	5	2	3	4	5	Bachelor of Science in Customs Administration
Female	Arts / Design / Creative Media	Sports	Upper income (₱131,484 - ₱219,140 per month)	Yes	No	No access	Elementary	College Graduate	STEM	85 - 89	Less than 3 hours	Public	Arts / Music	Social Science	Yes	1	5	4	1	4	4	Bachelor of Science in Social Work
Female	Social Sciences / Psychology	Sports	Lower-middle income (₱21,914 - ₱43,828 per month)	No	Yes	Strong and consistent access	High School	College Undergraduate	HUMSS	Below 75	3-5 hours	Science High School	None	Social Science	No	3	5	2	2	5	1	Bachelor of Science in Criminology
Female	Business / Finance	Entrepreneurship	Upper-middle income (₱76,667 - ₱131,484 per month)	Yes	Yes	Average/intermittent access	College Undergraduate	Not sure	ABM	95 - 100	None	Technical / Vocational High School	Volunteer Work	Business / Accounting	Yes	1	2	5	3	3	3	Bachelor of Science in Business Administration major in Human Resource Management
Female	Business / Finance	Entrepreneurship	Poor (Below ₱10,957 per month)	No	Yes	Average/intermittent access	Elementary	High School	ABM	90 - 94	None	Public	Academic Clubs	Business / Accounting	Yes	4	2	4	3	4	3	Bachelor of Science in Customs Administration
Male	Education / Teaching	Writing / Reading	Poor (Below ₱10,957 per month)	No	Yes	Limited access	Elementary	College Graduate	GAS	85 - 89	More than 15 hours	Public	Arts / Music	Science	No	4	4	1	5	2	1	Bachelor of Secondary Education major in Mathematics
Female	Education / Teaching	Sports	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	No access	Post-Graduate	High School	Sports Track	90 - 94	None	Technical / Vocational High School	Sports	Science	Yes	5	4	3	1	3	1	Bachelor of Physical Education
Male	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	No	Average/intermittent access	College Graduate	High School	TVL - Industrial Arts	85 - 89	3-5 hours	Technical / Vocational High School	None	Science	No	2	4	2	5	2	1	Bachelor of Science in Social Work
Female	Business / Finance	Entrepreneurship	Rich (Above ₱219,140 per month)	No	No	Limited access	Post-Graduate	Post-Graduate	ABM	75 - 79	6-10 hours	Private	Academic Clubs	Business / Accounting	No	3	3	3	1	5	1	Bachelor of Science in Business Administration major in Human Resource Management
Male	Education / Teaching	Social activities / Volunteering	Low income (₱10,957 - ₱21,914 per month)	No	Yes	Average/intermittent access	Not sure	College Undergraduate	HUMSS	95 - 100	None	Private	Volunteer Work	Mathematics	No	4	1	4	2	2	3	Bachelor of Secondary Education major in Social Studies
Female	Business / Finance	Entrepreneurship	Rich (Above ₱219,140 per month)	Yes	Yes	Strong and consistent access	College Undergraduate	High School	ABM	95 - 100	11-15 hours	Science High School	Arts / Music	Business / Accounting	Yes	4	3	4	3	2	1	Bachelor of Science in Business Administration major in Financial Management
Male	Technology / Computing	Coding / Programming	Low income (₱10,957 - ₱21,914 per month)	No	No	No access	High School	High School	STEM	95 - 100	3-5 hours	Public	Competitions	ICT / Computer Studies	Yes	5	2	4	3	3	1	Bachelor of Science in Information Technology
Male	Engineering	Gaming	Upper income (₱131,484 - ₱219,140 per month)	No	Yes	No access	College Graduate	High School	STEM	95 - 100	6-10 hours	Private	Academic Clubs	Mathematics	No	5	3	2	2	4	3	Bachelor of Science in Civil Engineering
Female	Undecided	Sports	Poor (Below ₱10,957 per month)	Yes	No	Strong and consistent access	High School	Post-Graduate	TVL - Travel Service	95 - 100	Less than 3 hours	Public	Academic Clubs	ICT / Computer Studies	No	4	2	4	1	1	3	Bachelor of Arts in Political Science
Male	Engineering	Sports	Upper-middle income (₱76,667 - ₱131,484 per month)	No	Yes	No access	Not sure	Post-Graduate	STEM	95 - 100	More than 15 hours	Technical / Vocational High School	Academic Clubs	Science	Yes	1	3	1	4	2	2	Bachelor of Science in Industrial Engineering
Female	Engineering	Gaming	Rich (Above ₱219,140 per month)	No	No	No access	Post-Graduate	Post-Graduate	STEM	Below 75	3-5 hours	Public	Arts / Music	Science	Yes	5	2	5	5	1	5	Bachelor of Science in Industrial Engineering
Female	Education / Teaching	Social activities / Volunteering	Middle income (₱43,828 - ₱76,667 per month)	No	Yes	Strong and consistent access	Not sure	Elementary	HUMSS	80 - 84	11-15 hours	Public	Academic Clubs	Social Science	Yes	3	4	2	5	4	3	Bachelor of Secondary Education major in English
Female	Health / Medical Sciences	Drawing / Design	Lower-middle income (₱21,914 - ₱43,828 per month)	No	No	Strong and consistent access	High School	College Graduate	HUMSS	75 - 79	None	Science High School	Leadership / Student Government	Business / Accounting	No	4	3	4	4	1	2	Bachelor of Performing Arts
Female	Social Sciences / Psychology	Sports	Middle income (₱43,828 - ₱76,667 per month)	No	No	Strong and consistent access	High School	College Undergraduate	GAS	90 - 94	3-5 hours	Science High School	Leadership / Student Government	Social Science	No	1	3	4	5	1	5	Bachelor of Science in Criminology
Male	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	No	No	No access	Post-Graduate	College Graduate	ABM	Below 75	None	Private	Sports	Business / Accounting	Yes	1	3	1	5	3	3	Bachelor of Science in Customs Administration
Male	Business / Finance	Entrepreneurship	Poor (Below ₱10,957 per month)	No	No	No access	Not sure	High School	ABM	95 - 100	6-10 hours	Public	None	Business / Accounting	Yes	5	3	1	1	3	5	Bachelor of Science in Customs Administration
Female	Business / Finance	Entrepreneurship	Lower-middle income (₱21,914 - ₱43,828 per month)	Yes	Yes	Strong and consistent access	Post-Graduate	Elementary	ABM	Below 75	Less than 3 hours	Public	Arts / Music	Business / Accounting	Yes	1	4	2	3	2	2	Bachelor of Science in Business Administration major in Financial Management
